date,category,value,source,month,year,mom_change,yoy_change,ma_3m,ma_12m,above_3m_ma,above_12m_ma,momentum_3m,momentum_6m
2020-01-01,Equipment Investment Index,90.7,ECOS,1,2020,,,90.7,90.7,0,0,,
2020-02-01,Equipment Investment Index,99.9,ECOS,2,2020,10.143329658213895,,95.30000000000001,95.30000000000001,1,1,0.09653725078698838,
2020-03-01,Equipment Investment Index,100.0,ECOS,3,2020,0.10010010010008674,,96.86666666666667,96.86666666666667,1,1,0.0480041293874743,0.0480041293874743
2020-04-01,Equipment Investment Index,100.2,ECOS,4,2020,0.20000000000000018,,100.03333333333335,97.7,1,1,0.0014995001666112024,0.029273285568065528
2020-05-01,Equipment Investment Index,96.4,ECOS,5,2020,-3.792415169660679,,98.86666666666667,97.44000000000001,0,0,-0.01820633850303437,0.01200738916256156
2020-06-01,Equipment Investment Index,100.8,ECOS,6,2020,4.564315352697079,,99.13333333333333,98.0,1,1,0.003026227303295158,0.01172011661807578
2020-07-01,Equipment Investment Index,103.0,ECOS,7,2020,2.182539682539675,,100.06666666666666,98.71428571428571,1,1,0.03297801465689546,0.004026558149496647
2020-08-01,Equipment Investment Index,96.4,ECOS,8,2020,-6.407766990291252,,100.06666666666666,98.425,0,0,-0.02198534310459681,-0.0014936805821524732
2020-09-01,Equipment Investment Index,113.9,ECOS,9,2020,18.15352697095436,,104.43333333333334,100.14444444444445,1,1,0.05218640280880946,0.019846078270836724
2020-10-01,Equipment Investment Index,94.9,ECOS,10,2020,-16.681299385425806,,101.73333333333333,99.62,0,0,-0.007372214941022287,0.007135777998017892
2020-11-01,Equipment Investment Index,98.5,ECOS,11,2020,3.7934668071654354,,102.43333333333334,99.51818181818182,0,0,-0.07517084282460139,-0.005164021164021145
2020-12-01,Equipment Investment Index,105.4,ECOS,12,2020,7.005076142131994,,99.60000000000001,100.00833333333334,1,1,0.05271084337349391,-0.0001960463976474057
2021-01-01,Equipment Investment Index,111.7,ECOS,1,2021,5.97722960151803,23.153252480705632,105.2,101.75833333333333,1,1,0.06273764258555131,0.015077319587628904
2021-02-01,Equipment Investment Index,106.8,ECOS,2,2021,-4.386750223813795,6.906906906906896,107.96666666666668,102.33333333333336,0,1,0.006483482556344463,0.005920695274307455
