date,category,value,source
2024-09-01,Equipment Investment Index,117.2,ECOS
2024-09-01,Manufacturing Inventory Ratio,106.6,ECOS
2024-10-01,Equipment Investment Index,113.2,ECOS
2024-10-01,Manufacturing Inventory Ratio,111.0,ECOS
2024-11-01,Equipment Investment Index,111.3,ECOS
2024-11-01,Manufacturing Inventory Ratio,113.6,ECOS
2024-12-01,Equipment Investment Index,119.3,ECOS
2024-12-01,Manufacturing Inventory Ratio,103.5,ECOS
2025-01-01,Equipment Investment Index,98.8,ECOS
2025-01-01,Manufacturing Inventory Ratio,110.5,ECOS
2025-02-01,Equipment Investment Index,119.8,ECOS
2025-02-01,Manufacturing Inventory Ratio,106.7,ECOS
2025-03-01,Equipment Investment Index,119.2,ECOS
2025-03-01,Manufacturing Inventory Ratio,103.2,ECOS
2025-04-01,Equipment Investment Index,118.6,ECOS
2025-04-01,Manufacturing Inventory Ratio,102.4,ECOS
2025-05-01,Equipment Investment Index,113.0,ECOS
2025-05-01,Manufacturing Inventory Ratio,104.4,ECOS
