count,mean,std,min,25%,50%,75%,max
576.0,44.434675347222225,37.790682228395966,0.0,0.0,64.78928571428571,79.2375,99.08
90.0,19.987888888888886,26.716188901595185,0.0,1.565,4.825,25.06,76.33
576.0,428486.3645833333,947179.2445843995,0.0,0.0,59818.0,352925.0,5912887.0
576.0,5333.054999999999,11742.74227497751,0.0,0.0,786.5,4474.5,67414.0
