date,region,country,value,unit,sector,source
2024-01-01,MiddleEast,Neutral Zone,233095.0,thousand USD,energy,PETRONET
2024-01-01,MiddleEast,Neutral Zone,81.49,USD/bbl,energy,PETRONET
2024-01-01,MiddleEast,Oman,1412.0,thousand bbl,energy,PETRONET
2024-01-01,MiddleEast,Oman,110880.0,thousand USD,energy,PETRONET
2024-01-01,MiddleEast,Oman,78.53,USD/bbl,energy,PETRONET
2024-01-01,MiddleEast,Qatar,5093.0,thousand bbl,energy,PETRONET
2024-01-01,MiddleEast,Qatar,404450.0,thousand USD,energy,PETRONET
2024-01-01,MiddleEast,Qatar,79.42,USD/bbl,energy,PETRONET
2024-01-01,MiddleEast,Saudi Arabia,27588.0,thousand bbl,energy,PETRONET
2024-01-01,MiddleEast,Saudi Arabia,2323845.0,thousand USD,energy,PETRONET
2024-01-01,MiddleEast,Saudi Arabia,84.23,USD/bbl,energy,PETRONET
2024-01-01,MiddleEast,UAE,11460.0,thousand bbl,energy,PETRONET
2024-01-01,MiddleEast,UAE,962458.0,thousand USD,energy,PETRONET
2024-01-01,MiddleEast,UAE,83.98,USD/bbl,energy,PETRONET
2024-01-01,Total,Total,89135.0,thousand bbl,energy,PETRONET
2024-01-01,Total,Total,7378927.0,thousand USD,energy,PETRONET
2024-01-01,Total,Total,82.78,USD/bbl,energy,PETRONET
2024-02-01,Africa,Africa,2.88,percentage,energy,PETRONET
2024-02-01,Africa,Africa,2452.0,thousand bbl,energy,PETRONET
2024-02-01,Africa,Africa,212810.0,thousand USD,energy,PETRONET
2024-02-01,Africa,Africa,51.752,USD/bbl,energy,PETRONET
2024-02-01,Africa,Algeria,1758.0,thousand bbl,energy,PETRONET
2024-02-01,Africa,Algeria,154132.0,thousand USD,energy,PETRONET
2024-02-01,Africa,Algeria,87.67,USD/bbl,energy,PETRONET
2024-02-01,Africa,Congo,0.0,thousand bbl,energy,PETRONET
2024-02-01,Africa,Congo,0.0,thousand USD,energy,PETRONET
2024-02-01,Africa,Congo,0.0,USD/bbl,energy,PETRONET
2024-02-01,Africa,Equatorial Guinea,0.0,thousand bbl,energy,PETRONET
2024-02-01,Africa,Equatorial Guinea,0.0,thousand USD,energy,PETRONET
2024-02-01,Africa,Equatorial Guinea,0.0,USD/bbl,energy,PETRONET
2024-02-01,Africa,Gabon,0.0,thousand bbl,energy,PETRONET
2024-02-01,Africa,Gabon,0.0,thousand USD,energy,PETRONET
2024-02-01,Africa,Gabon,0.0,USD/bbl,energy,PETRONET
2024-02-01,Africa,Mozambique,253.0,thousand bbl,energy,PETRONET
2024-02-01,Africa,Mozambique,22483.0,thousand USD,energy,PETRONET
2024-02-01,Africa,Mozambique,88.97,USD/bbl,energy,PETRONET
2024-02-01,Africa,Nigeria,441.0,thousand bbl,energy,PETRONET
2024-02-01,Africa,Nigeria,36195.0,thousand USD,energy,PETRONET
2024-02-01,Africa,Nigeria,82.12,USD/bbl,energy,PETRONET
2024-02-01,America,America,20.57,percentage,energy,PETRONET
2024-02-01,America,America,18326.0,thousand bbl,energy,PETRONET
2024-02-01,America,America,1519132.0,thousand USD,energy,PETRONET
2024-02-01,America,America,64.01599999999999,USD/bbl,energy,PETRONET
2024-02-01,America,Brazil,2853.0,thousand bbl,energy,PETRONET
2024-02-01,America,Brazil,242605.0,thousand USD,energy,PETRONET
2024-02-01,America,Brazil,85.03,USD/bbl,energy,PETRONET
2024-02-01,America,Canada,0.0,thousand bbl,energy,PETRONET
2024-02-01,America,Canada,0.0,thousand USD,energy,PETRONET
2024-02-01,America,Canada,0.0,USD/bbl,energy,PETRONET
2024-02-01,America,Ecuador,1077.0,thousand bbl,energy,PETRONET
2024-02-01,America,Ecuador,84910.0,thousand USD,energy,PETRONET
2024-02-01,America,Ecuador,78.83,USD/bbl,energy,PETRONET
2024-02-01,America,Mexico,772.0,thousand bbl,energy,PETRONET
