date,indicator,value,unit,source
2002-02-01,Coincident Index,100.6,index,ECOS
2002-02-01,Leading Index,102.4,index,ECOS
2002-02-01,Leading–Coincident Spread,1.8000000000000114,index,ECOS
2002-03-01,KOSPI,895.5800170898438,index,ECOS
2002-03-01,Coincident Index,101.4,index,ECOS
2002-03-01,Leading Index,103.7,index,ECOS
2002-03-01,Leading–Coincident Spread,2.299999999999997,index,ECOS
2002-04-01,KOSPI,842.3400268554688,index,ECOS
2002-04-01,Coincident Index,101.7,index,ECOS
2002-04-01,Leading Index,104.0,index,ECOS
2002-04-01,Leading–Coincident Spread,2.299999999999997,index,ECOS
2002-05-01,KOSPI,796.4000244140625,index,ECOS
2002-05-01,Coincident Index,101.5,index,ECOS
2002-05-01,Leading Index,103.7,index,ECOS
2002-05-01,Leading–Coincident Spread,2.200000000000003,index,ECOS
2002-06-01,KOSPI,742.719970703125,index,ECOS
2002-06-01,Coincident Index,101.0,index,ECOS
2002-06-01,Leading Index,102.7,index,ECOS
2002-06-01,Leading–Coincident Spread,1.7000000000000028,index,ECOS
2002-07-01,KOSPI,717.989990234375,index,ECOS
2002-07-01,Coincident Index,101.0,index,ECOS
2002-07-01,Leading Index,102.1,index,ECOS
2002-07-01,Leading–Coincident Spread,1.0999999999999943,index,ECOS
2002-08-01,KOSPI,736.4000244140625,index,ECOS
2002-08-01,Coincident Index,101.0,index,ECOS
2002-08-01,Leading Index,101.6,index,ECOS
2002-08-01,Leading–Coincident Spread,0.5999999999999943,index,ECOS
2002-09-01,KOSPI,646.4199829101562,index,ECOS
2002-09-01,Coincident Index,101.3,index,ECOS
2002-09-01,Leading Index,101.2,index,ECOS
2002-09-01,Leading–Coincident Spread,-0.0999999999999943,index,ECOS
2002-10-01,KOSPI,658.9199829101562,index,ECOS
2002-10-01,Coincident Index,101.2,index,ECOS
2002-10-01,Leading Index,100.3,index,ECOS
2002-10-01,Leading–Coincident Spread,-0.9000000000000057,index,ECOS
2002-11-01,KOSPI,724.7999877929688,index,ECOS
2002-11-01,Coincident Index,101.5,index,ECOS
2002-11-01,Leading Index,100.2,index,ECOS
2002-11-01,Leading–Coincident Spread,-1.2999999999999972,index,ECOS
2002-12-01,KOSPI,627.5499877929688,index,ECOS
2002-12-01,Coincident Index,101.3,index,ECOS
2002-12-01,Leading Index,100.3,index,ECOS
2002-12-01,Leading–Coincident Spread,-1.0,index,ECOS
2003-01-01,KOSPI,591.8599853515625,index,ECOS
2003-01-01,Coincident Index,101.2,index,ECOS
