date,indicator,value,unit,source,trend_3m
2001-08-01,KOSPI,545.1099853515625,index,ECOS,-0.04172852917519154
2001-08-01,Coincident Index,99.0,index,ECOS,-0.004014076540177103
2001-08-01,Leading Index,96.7,index,ECOS,-0.003088015596359406
2001-08-01,Leading–Coincident Spread,-2.299999999999997,index,ECOS,-0.03727272727272807
2001-09-01,KOSPI,479.6799926757813,index,ECOS,-0.05672854502285196
2001-09-01,Coincident Index,99.4,index,ECOS,0.001012137504072974
2001-09-01,Leading Index,96.7,index,ECOS,-0.001546391752577314
2001-09-01,Leading–Coincident Spread,-2.700000000000003,index,ECOS,0.1096837944664032
2001-10-01,KOSPI,537.8099975585938,index,ECOS,0.0005770797052551124
2001-10-01,Coincident Index,99.8,index,ECOS,0.004032274454809581
2001-10-01,Leading Index,97.0,index,ECOS,0.0015511892450879028
2001-10-01,Leading–Coincident Spread,-2.799999999999997,index,ECOS,0.10547504025764931
2001-11-01,KOSPI,643.8900146484375,index,ECOS,0.1592146906625327
2001-11-01,Coincident Index,100.1,index,ECOS,0.00351507844663157
2001-11-01,Leading Index,98.1,index,ECOS,0.007221292337871388
2001-11-01,Leading–Coincident Spread,-2.0,index,ECOS,-0.12433862433862503
2001-12-01,KOSPI,693.7000122070312,index,ECOS,0.13730117045732915
2001-12-01,Coincident Index,99.7,index,ECOS,-0.0004949959859779085
2001-12-01,Leading Index,99.4,index,ECOS,0.012295995039776408
2001-12-01,Leading–Coincident Spread,-0.2999999999999971,index,ECOS,-0.5678571428571433
2002-01-01,KOSPI,748.0700073242188,index,ECOS,0.07786736989501442
2002-01-01,Coincident Index,100.1,index,ECOS,8.016056160520257e-06
2002-01-01,Leading Index,101.1,index,ECOS,0.015177199794075391
2002-01-01,Leading–Coincident Spread,1.0,index,ECOS,-2.5916666666666837
2002-02-01,KOSPI,819.989990234375,index,ECOS,0.08725876161956025
2002-02-01,Coincident Index,100.6,index,ECOS,0.004503520551664919
2002-02-01,Leading Index,102.4,index,ECOS,0.014980585789713619
2002-02-01,Leading–Coincident Spread,1.8000000000000114,index,ECOS,-1.7666666666666773
2002-03-01,KOSPI,895.5800170898438,index,ECOS,0.09416239828998463
2002-03-01,Coincident Index,101.4,index,ECOS,0.006473645638655601
2002-03-01,Leading Index,103.7,index,ECOS,0.01277693419263115
2002-03-01,Leading–Coincident Spread,2.299999999999997,index,ECOS,0.5388888888888897
2002-04-01,KOSPI,842.3400268554688,index,ECOS,0.016368294017782448
2002-04-01,Coincident Index,101.7,index,ECOS,0.005455433081981487
2002-04-01,Leading Index,104.0,index,ECOS,0.007794136481436786
2002-04-01,Leading–Coincident Spread,2.299999999999997,index,ECOS,0.13888888888888407
2002-05-01,KOSPI,796.4000244140625,index,ECOS,-0.05699302268888129
2002-05-01,Coincident Index,101.5,index,ECOS,0.000496005771703445
2002-05-01,Leading Index,103.7,index,ECOS,4.1725391290992064e-06
2002-05-01,Leading–Coincident Spread,2.200000000000003,index,ECOS,-0.021739130434781373
2002-06-01,KOSPI,742.719970703125,index,ECOS,-0.06097096441624261
2002-06-01,Coincident Index,101.0,index,ECOS,-0.0034463383563170247
2002-06-01,Leading Index,102.7,index,ECOS,-0.00626390846376379
2002-06-01,Leading–Coincident Spread,1.7000000000000028,index,ECOS,-0.13537549407114485
2002-07-01,KOSPI,717.989990234375,index,ECOS,-0.05034994348842925
2002-07-01,Coincident Index,101.0,index,ECOS,-0.0024630541871921152
2002-07-01,Leading Index,102.1,index,ECOS,-0.007742730274864107
2002-07-01,Leading–Coincident Spread,1.0999999999999943,index,ECOS,-0.2901069518716598
2002-08-01,KOSPI,736.4000244140625,index,ECOS,-0.0038277165446964356
2002-08-01,Coincident Index,101.0,index,ECOS,0.0
2002-08-01,Leading Index,101.6,index,ECOS,-0.005369709327110284
2002-08-01,Leading–Coincident Spread,0.5999999999999943,index,ECOS,-0.4037433155080248
2002-09-01,KOSPI,646.4199829101562,index,ECOS,-0.048274003208726046
2002-09-01,Coincident Index,101.3,index,ECOS,0.0014851485148514865
2002-09-01,Leading Index,101.2,index,ECOS,-0.004417083760710094
2002-09-01,Leading–Coincident Spread,-0.0999999999999943,index,ECOS,-0.8106060606060579
2002-10-01,KOSPI,658.9199829101562,index,ECOS,-0.0514259032601338
2002-10-01,Coincident Index,101.2,index,ECOS,0.000991565099254299
2002-10-01,Leading Index,100.3,index,ECOS,-0.0064151442532133784
2002-10-01,Leading–Coincident Spread,-0.9000000000000057,index,ECOS,3.4166666666669556
2002-11-01,KOSPI,724.7999877929688,index,ECOS,0.059659535938051955
2002-11-01,Coincident Index,101.5,index,ECOS,0.0009886300231379264
2002-11-01,Leading Index,100.2,index,ECOS,-0.004945144802745938
2002-11-01,Leading–Coincident Spread,-1.2999999999999972,index,ECOS,4.222222222222501
2002-12-01,KOSPI,627.5499877929688,index,ECOS,-0.01709657434383549
2002-12-01,Coincident Index,101.3,index,ECOS,0.0004969917638582566
2002-12-01,Leading Index,100.3,index,ECOS,4.975094675674363e-07
2002-12-01,Leading–Coincident Spread,-1.0,index,ECOS,0.10683760683760157
2003-01-01,KOSPI,591.8599853515625,index,ECOS,-0.09552345723110311
2003-01-01,Coincident Index,101.2,index,ECOS,-0.0014788050904740446
2003-01-01,Leading Index,100.1,index,ECOS,-0.0004980069770728068
2003-01-01,Leading–Coincident Spread,-1.1000000000000083,index,ECOS,-0.06538461538461038
2003-02-01,KOSPI,575.4299926757812,index,ECOS,-0.04231594946601652
2003-02-01,Coincident Index,100.7,index,ECOS,-0.0029639391468224696
2003-02-01,Leading Index,99.9,index,ECOS,-0.0019960099720817137
2003-02-01,Leading–Coincident Spread,-0.7999999999999972,index,ECOS,-0.08636363636363625
2003-03-01,KOSPI,535.7000122070312,index,ECOS,-0.04840195886696025
2003-03-01,Coincident Index,100.4,index,ECOS,-0.003959928720301709
2003-03-01,Leading Index,99.6,index,ECOS,-0.002500502500502544
2003-03-01,Leading–Coincident Spread,-0.8000000000000114,index,ECOS,-0.13636363636363152
2003-04-01,KOSPI,599.3499755859375,index,ECOS,0.02488622225636916
2003-04-01,Coincident Index,99.8,index,ECOS,-0.0044776207978414195
2003-04-01,Leading Index,99.2,index,ECOS,-0.0035095336300156044
2003-04-01,Leading–Coincident Spread,-0.5999999999999943,index,ECOS,-0.125
2003-05-01,KOSPI,633.4199829101562,index,ECOS,0.08783068028272234
2003-05-01,Coincident Index,99.7,index,ECOS,-0.003489049812772982
2003-05-01,Leading Index,99.0,index,ECOS,-0.003016096644643085
2003-05-01,Leading–Coincident Spread,-0.7000000000000028,index,ECOS,-0.04166666666666763
2003-06-01,KOSPI,669.9299926757812,index,ECOS,0.05724221387315276
2003-06-01,Coincident Index,99.8,index,ECOS,5.025095325961182e-07
2003-06-01,Leading Index,99.3,index,ECOS,0.0005070869990224103
2003-06-01,Leading–Coincident Spread,-0.5,index,ECOS,-0.05952380952380304
2003-07-01,KOSPI,713.52001953125,index,ECOS,0.061353019084462
2003-07-01,Coincident Index,99.7,index,ECOS,5.025095325961182e-07
2003-07-01,Leading Index,99.3,index,ECOS,0.0015151515151514694
2003-07-01,Leading–Coincident Spread,-0.4000000000000057,index,ECOS,-0.2428571428571386
2003-08-01,KOSPI,759.469970703125,index,ECOS,0.06473275292708303
2003-08-01,Coincident Index,99.8,index,ECOS,5.025095325961182e-07
2003-08-01,Leading Index,99.7,index,ECOS,0.002014098690835908
2003-08-01,Leading–Coincident Spread,-0.0999999999999943,index,ECOS,-0.4750000000000032
2003-09-01,KOSPI,697.52001953125,index,ECOS,-0.008585507774868772
2003-09-01,Coincident Index,99.8,index,ECOS,0.0005015045135405849
2003-09-01,Leading Index,99.9,index,ECOS,0.003017107717917189
2003-09-01,Leading–Coincident Spread,0.1000000000000085,index,ECOS,-1.37500000000008
2003-10-01,KOSPI,782.3599853515625,index,ECOS,0.020030443724557645
2003-10-01,Coincident Index,100.2,index,ECOS,0.002004008016032066
2003-10-01,Leading Index,100.4,index,ECOS,0.0035055115295837824
2003-10-01,Leading–Coincident Spread,0.2000000000000028,index,ECOS,-0.5000000000001421
2003-11-01,KOSPI,796.1799926757812,index,ECOS,0.06964769026863327
2003-11-01,Coincident Index,100.3,index,ECOS,0.002503010012040008
2003-11-01,Leading Index,100.4,index,ECOS,0.0025025025025025016
2003-11-01,Leading–Coincident Spread,0.1000000000000085,index,ECOS,0.2499999999999467
2003-12-01,KOSPI,810.7100219726562,index,ECOS,0.017957095486515695
2003-12-01,Coincident Index,100.6,index,ECOS,0.001994515455629009
2003-12-01,Leading Index,100.5,index,ECOS,0.0004980079681274896
2003-12-01,Leading–Coincident Spread,-0.0999999999999943,index,ECOS,-1.2499999999999112
2004-01-01,KOSPI,848.5,index,ECOS,0.03243155645644635
2004-01-01,Coincident Index,100.9,index,ECOS,0.0029865671375535197
2004-01-01,Leading Index,100.7,index,ECOS,0.0014930328437493534
2004-01-01,Leading–Coincident Spread,-0.2000000000000028,index,ECOS,-0.4999999999998581
2004-02-01,KOSPI,883.4199829101562,index,ECOS,0.043884196570796896
2004-02-01,Coincident Index,101.4,index,ECOS,0.003968754371688643
2004-02-01,Leading Index,101.0,index,ECOS,0.0024845978646983458
2004-02-01,Leading–Coincident Spread,-0.4000000000000057,index,ECOS,1.000000000000071
2004-03-01,KOSPI,880.5,index,ECOS,0.018924821217523036
2004-03-01,Coincident Index,101.6,index,ECOS,0.0034638939876416863
2004-03-01,Leading Index,101.1,index,ECOS,0.0019846224940269774
2004-03-01,Leading–Coincident Spread,-0.5,index,ECOS,0.6249999999999913
2004-04-01,KOSPI,862.8400268554688,index,ECOS,-0.011681036107962284
2004-04-01,Coincident Index,101.6,index,ECOS,0.0009861932938854956
2004-04-01,Leading Index,101.2,index,ECOS,0.0009896093466913447
2004-04-01,Leading–Coincident Spread,-0.3999999999999915,index,ECOS,0.02499999999998259
2004-05-01,KOSPI,803.8400268554688,index,ECOS,-0.044217797626167066
2004-05-01,Coincident Index,101.2,index,ECOS,-0.001968503937007815
2004-05-01,Leading Index,100.8,index,ECOS,-0.001481724743239432
2004-05-01,Leading–Coincident Spread,-0.4000000000000057,index,ECOS,-0.09999999999999076
2004-06-01,KOSPI,785.7899780273438,index,ECOS,-0.045416808592786906
2004-06-01,Coincident Index,101.0,index,ECOS,-0.002956646229497928
2004-06-01,Leading Index,100.5,index,ECOS,-0.003464379823075514
2004-06-01,Leading–Coincident Spread,-0.5,index,ECOS,0.12500000000000888
2004-07-01,KOSPI,735.3400268554688,index,ECOS,-0.043328810545123
2004-07-01,Coincident Index,100.5,index,ECOS,-0.0034633898172425903
2004-07-01,Leading Index,100.1,index,ECOS,-0.003478144989339016
2004-07-01,Leading–Coincident Spread,-0.4000000000000057,index,ECOS,0.024999999999996803
2004-08-01,KOSPI,803.5700073242188,index,ECOS,0.014292068200438768
2004-08-01,Coincident Index,100.1,index,ECOS,-0.004465297275996261
2004-08-01,Leading Index,99.8,index,ECOS,-0.0034885512497452864
2004-08-01,Leading–Coincident Spread,-0.2999999999999971,index,ECOS,-0.22500000000000325
2004-09-01,KOSPI,835.0900268554688,index,ECOS,0.06600598135563351
2004-09-01,Coincident Index,99.9,index,ECOS,-0.0029890507502447483
2004-09-01,Leading Index,99.8,index,ECOS,-0.0014985014985015033
2004-09-01,Leading–Coincident Spread,-0.1000000000000085,index,ECOS,-0.4583333333333265
2004-10-01,KOSPI,834.8400268554688,index,ECOS,0.019462806824779855
2004-10-01,Coincident Index,99.9,index,ECOS,-0.0009990009990009652
2004-10-01,Leading Index,99.8,index,ECOS,0.0
2004-10-01,Leading–Coincident Spread,-0.1000000000000085,index,ECOS,-0.33333333333331755
2004-11-01,KOSPI,878.0599975585938,index,ECOS,0.02573549671977715
2004-11-01,Coincident Index,99.7,index,ECOS,-0.001001001001001034
2004-11-01,Leading Index,99.6,index,ECOS,-0.001002004008016033
2004-11-01,Leading–Coincident Spread,-0.1000000000000085,index,ECOS,0.0
2004-12-01,KOSPI,895.9199829101562,index,ECOS,0.03605532069291273
2004-12-01,Coincident Index,99.3,index,ECOS,-0.00300701905516354
2004-12-01,Leading Index,99.5,index,ECOS,-0.0015040120401444979
2004-12-01,Leading–Coincident Spread,0.2000000000000028,index,ECOS,-1.499999999999929
2005-01-01,KOSPI,932.7000122070312,index,ECOS,0.030696542538998894
2005-01-01,Coincident Index,99.1,index,ECOS,-0.00301306739958046
2005-01-01,Leading Index,99.3,index,ECOS,-0.001507033157756632
2005-01-01,Leading–Coincident Spread,0.2000000000000028,index,ECOS,-1.499999999999929
2005-02-01,KOSPI,1011.3599853515624,index,ECOS,0.06269428772387153
2005-02-01,Coincident Index,98.9,index,ECOS,-0.002016131081038486
2005-02-01,Leading Index,99.6,index,ECOS,0.0005055488924986529
