date,country,sector,indicator,commodity,value,unit,source,domain,file_source,yoy_change
2017-06-01,World,agriculture,Production,Corn,1087284.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-3.7255646787248353
2018-06-01,World,agriculture,Production,Corn,1132822.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.188234168809624
2019-06-01,World,agriculture,Production,Corn,1128285.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-0.40050422749557946
2020-06-01,World,agriculture,Production,Corn,1134439.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.5454295678839927
2021-06-01,World,agriculture,Production,Corn,1221050.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,7.634698736556134
2022-06-01,World,agriculture,Production,Corn,1165641.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-4.537815814258217
2023-06-01,World,agriculture,Production,Corn,1230733.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,5.584223616019002
2024-06-01,World,agriculture,Production,Corn,1225295.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-0.44185050697429507
2025-06-01,World,agriculture,Production,Corn,1263660.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.131082718855449
2000-06-01,World,agriculture,Production,Rice,399325.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,
2001-06-01,World,agriculture,Production,Rice,399518.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.04833155950667578
2002-06-01,World,agriculture,Production,Rice,377979.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-5.391246451974629
2003-06-01,World,agriculture,Production,Rice,392368.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.8068252469052544
2004-06-01,World,agriculture,Production,Rice,401016.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.2040533376829874
2005-06-01,World,agriculture,Production,Rice,418045.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.246463981487025
2006-06-01,World,agriculture,Production,Rice,420026.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.4738724300015651
2007-06-01,World,agriculture,Production,Rice,434115.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.3543161613804884
2008-06-01,World,agriculture,Production,Rice,450140.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.691418172604033
2009-06-01,World,agriculture,Production,Rice,440889.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-2.055138401386236
2010-06-01,World,agriculture,Production,Rice,451393.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.382459077001231
2011-06-01,World,agriculture,Production,Rice,469557.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.023987966140363
2012-06-01,World,agriculture,Production,Rice,476040.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.3806630504922701
2013-06-01,World,agriculture,Production,Rice,481266.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.0978069069826013
2014-06-01,World,agriculture,Production,Rice,482800.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.3187426495950163
2015-06-01,World,agriculture,Production,Rice,476741.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-1.2549710024855054
2016-06-01,World,agriculture,Production,Rice,492076.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.216631252608848
2017-06-01,World,agriculture,Production,Rice,494796.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.5527601427421702
2018-06-01,World,agriculture,Production,Rice,498359.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.7200947461175833
2019-06-01,World,agriculture,Production,Rice,498705.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.06942786224388708
2020-06-01,World,agriculture,Production,Rice,509407.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.145958031301065
2021-06-01,World,agriculture,Production,Rice,514233.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.947376066681449
2022-06-01,World,agriculture,Production,Rice,516928.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.5240814961311235
2023-06-01,World,agriculture,Production,Rice,523648.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.2999876191655213
2024-06-01,World,agriculture,Production,Rice,541508.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.4106880958201025
2025-06-01,World,agriculture,Production,Rice,541273.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-0.043397327463301494
2000-06-01,World,agriculture,Production,Soybean,175775.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,
2001-06-01,World,agriculture,Production,Soybean,184897.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,5.189588963163128
2002-06-01,World,agriculture,Production,Soybean,196827.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,6.452240977409041
2003-06-01,World,agriculture,Production,Soybean,186479.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-5.25740879046066
2004-06-01,World,agriculture,Production,Soybean,215491.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,15.557783986400619
2005-06-01,World,agriculture,Production,Soybean,220777.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.45300267760602
2006-06-01,World,agriculture,Production,Soybean,235776.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,6.793733042844141
2007-06-01,World,agriculture,Production,Soybean,219309.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-6.984171416938112
2008-06-01,World,agriculture,Production,Soybean,212295.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-3.1982271589401257
2009-06-01,World,agriculture,Production,Soybean,260986.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,22.93553781294897
2010-06-01,World,agriculture,Production,Soybean,265046.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.5556389997930964
2011-06-01,World,agriculture,Production,Soybean,241166.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-9.009756796933367
2012-06-01,World,agriculture,Production,Soybean,268923.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,11.509499680717838
2013-06-01,World,agriculture,Production,Soybean,283320.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,5.3535770462176835
2014-06-01,World,agriculture,Production,Soybean,321444.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,13.45616264294791
2015-06-01,World,agriculture,Production,Soybean,316072.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-1.6712086708726925
2016-06-01,World,agriculture,Production,Soybean,350805.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,10.988951884380782
2017-06-01,World,agriculture,Production,Soybean,343632.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-2.044725702313255
2018-06-01,World,agriculture,Production,Soybean,363451.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,5.767507100619262
2019-06-01,World,agriculture,Production,Soybean,341728.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-5.976871710354348
2020-06-01,World,agriculture,Production,Soybean,369626.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,8.163802790523466
2021-06-01,World,agriculture,Production,Soybean,360538.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-2.4587014982712208
2022-06-01,World,agriculture,Production,Soybean,378360.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.943168265203668
2023-06-01,World,agriculture,Production,Soybean,396931.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.908288402579553
2024-06-01,World,agriculture,Production,Soybean,421997.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,6.314951465116114
2025-06-01,World,agriculture,Production,Soybean,427681.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.3469290066043138
2000-06-01,World,agriculture,Production,Sugar,130764.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,
2001-06-01,World,agriculture,Production,Sugar,134398.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.7790523385641253
2002-06-01,World,agriculture,Production,Sugar,148552.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,10.531406717361858
2003-06-01,World,agriculture,Production,Sugar,142487.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-4.082745435941626
2004-06-01,World,agriculture,Production,Sugar,140734.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-1.2302876753668701
2005-06-01,World,agriculture,Production,Sugar,144303.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.5359898816206483
2006-06-01,World,agriculture,Production,Sugar,164278.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,13.842401058883036
2007-06-01,World,agriculture,Production,Sugar,163257.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-0.6215074446974
2008-06-01,World,agriculture,Production,Sugar,143833.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-11.897805300844677
2009-06-01,World,agriculture,Production,Sugar,153184.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,6.501289690126755
2010-06-01,World,agriculture,Production,Sugar,162221.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,5.899441194902866
2011-06-01,World,agriculture,Production,Sugar,172349.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,6.2433347100560255
2012-06-01,World,agriculture,Production,Sugar,177833.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.1819157639440876
2013-06-01,World,agriculture,Production,Sugar,175971.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-1.0470497601682505
2014-06-01,World,agriculture,Production,Sugar,177582.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.9154917571645438
2015-06-01,World,agriculture,Production,Sugar,164972.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-7.1009449155882916
2016-06-01,World,agriculture,Production,Sugar,172143.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.346798244550598
2017-06-01,World,agriculture,Production,Sugar,194222.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,12.825964459780526
2018-06-01,World,agriculture,Production,Sugar,179158.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-7.756072947451886
2019-06-01,World,agriculture,Production,Sugar,166559.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-7.03234016901283
2020-06-01,World,agriculture,Production,Sugar,180262.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,8.227114716106598
2021-06-01,World,agriculture,Production,Sugar,180700.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.24297966293507223
2022-06-01,World,agriculture,Production,Sugar,179247.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-0.8040951853901523
2023-06-01,World,agriculture,Production,Sugar,175663.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-1.9994755839707223
2024-06-01,World,agriculture,Production,Sugar,180754.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.898162959758177
2025-06-01,World,agriculture,Production,Sugar,189318.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.73793111079146
2000-06-01,World,agriculture,Production,Wheat,582813.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,
2001-06-01,World,agriculture,Production,Wheat,583791.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.16780682654642387
2002-06-01,World,agriculture,Production,Wheat,570058.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-2.352382958969901
2003-06-01,World,agriculture,Production,Wheat,556088.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-2.4506278308523033
2004-06-01,World,agriculture,Production,Wheat,627061.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,12.762908028945063
2005-06-01,World,agriculture,Production,Wheat,619105.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-1.2687760839854456
2006-06-01,World,agriculture,Production,Wheat,596834.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-3.597289635845291
2007-06-01,World,agriculture,Production,Wheat,611710.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.4924853476846254
2008-06-01,World,agriculture,Production,Wheat,684262.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,11.860522142845475
2009-06-01,World,agriculture,Production,Wheat,687531.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.4777409822553258
2010-06-01,World,agriculture,Production,Wheat,650300.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-5.41517400669933
2011-06-01,World,agriculture,Production,Wheat,698743.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,7.4493310779640165
2012-06-01,World,agriculture,Production,Wheat,660810.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-5.428748481201239
2013-06-01,World,agriculture,Production,Wheat,718132.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,8.674505531090638
