date,value
2024-01-31,
2024-02-29,
2024-03-31,123.37329105414058
2024-04-30,172.86186193783283
2024-05-31,198.31633024717334
2024-06-30,284.4862891881586
2024-07-31,153.80339581275533
2024-08-31,67.8065997382913
2024-09-30,79.30932351483766
2024-10-31,157.13475332381807
2024-11-30,170.3779311666733
2024-12-31,152.86420023983868
2025-01-31,196.02453447776773
2025-02-28,118.1783773534274
2025-03-31,162.28792640149126
2025-04-30,166.8162330400522
2025-05-31,34.12915409788408
2025-06-30,125.68720336094731
2025-07-31,121.5963054241362
