indicator,BDI,CCFI,HRCI,SCFI
BDI,1.0,0.1794681684121211,-0.3867300077385583,0.2907516319967905
CCFI,0.1794681684121211,1.0,0.1918599642756906,0.8652294720285618
HRCI,-0.3867300077385583,0.1918599642756906,1.0,0.01951146725535928
SCFI,0.2907516319967905,0.8652294720285618,0.01951146725535928,1.0
