date,country,partner,trade_type,value,yoy_change
2025-06-01,South Korea,United States,Total Exports,11241336,-0.48
2025-06-01,South Korea,China,Total Exports,10418316,-2.69
2025-06-01,South Korea,Australia,Total Exports,1177461,0.71
2025-06-01,South Korea,Philippines,Total Exports,1034096,34.24
2025-06-01,South Korea,Canada,Total Exports,939846,5.26
2025-06-01,South Korea,Germany,Total Exports,650954,-2.82
2025-06-01,South Korea,Thailand,Total Exports,649689,8.45
2025-06-01,South Korea,Indonesia,Total Exports,528920,-26.09
2025-06-01,South Korea,Russia,Total Exports,339977,-5.11
